순번,일자,채널,지역,분임,답변자,내용,예정시간,상태
15,2026-06-13,유튜브,대전,15조,김민경,(시민C) 「한국 기후위기 평가보고서」에 따르면 폭염 발생일수와 극한강수 강도는 지속적으로 증가할 것으로 전망된다?,14:42,대기
16,2026-06-13,유튜브,서울,1조,유종민,(시민C) 현 정부는 재생에너지 확대 및 보급 목표를 상향하고 관련 내용을 전력수급기본계획 등에 반영할 예정임?,15:00,대기
17,2026-06-13,유튜브,서울미래,2조,공통,(시민C) 한국은 2021년 글로벌 메탄 서약(GMP)에 가입하면서 2030년까지 2020년 대비 메탄을 30% 이상 감축하기로 약속하였다?,15:03,대기
18,2026-06-13,유튜브,대전,3조,유종민,"(시민C) 기후부와 국토교통부의 공동 고시인 「탄소중립도시 지정 등에 관한 고시」에 따라 당진, 보령 등 전국 거점 도시들이 탄소중립 선도도 시로?",15:06,대기
19,2026-06-13,유튜브,대구,4조,유종민,(시민D) 재생에너지 확대 과정에서 지역 주민의 수용성과 입지 갈등 문제가 중요한 사회적 과제로 대두되고 있다?,15:09,대기
20,2026-06-13,유튜브,광주,5조,유종민,(시민D) 건물 부문은 2030 국가온실가스감축목표에서 온실가스 배출을 2018년 52?,15:12,대기
21,2026-06-13,유튜브,부산,6조,공통,"(시민D) 2024년부터 2025년까지 대한민국은 기록적인 폭염을 경험했으며, 이로 인해 온열질환자 수가 급증했습니다?",15:15,대기
22,2026-06-13,유튜브,서울,7조,유종민,"(시민D) 최근 태양광, 풍력을 중심으로 재생에너지 보급이 급격하게 되면서 전력계통 운영환경이 빠르게 변화하고 있으며 출력변동성과 예측오차로 인해?",15:18,대기
23,2026-06-13,유튜브,서울미래,8조,김민경,"(시민D) 기후위기로 꿀벌 급격한 감소, 농업과 식량 위기○ 유엔 세계식량기구(FAO) 2018년 5월 20일 ‘세계 벌의 날(World Bee?",15:21,대기
24,2026-06-13,유튜브,대전,9조,김민경,"(시민D) 한국은 2050 탄소중립과 2030 국가온실가스감축목표(NDC)를 선언했지만, 가계·개인이 차지하는 생활 부문 배출 비중이 여전히 크고?",15:24,대기
25,2026-06-13,유튜브,대구,10조,유종민,(시민E) 전 세계적으로 식품시스템으로 발생하는 온실가스는 전체 배출량의 약 25%를 차지하며 국내 농식품시스템 전체 배출량 비중은 전체  배출량?,15:27,대기
26,2026-06-13,유튜브,광주,11조,김민경,(시민E) 식량 공급망 구조적 취약성 심화: IPCC 제6차 평가보고서(AR6) 및 기후부 리스크 평가에 따라 극한 기상현상으로 농업 생산성 저하?,15:30,대기
27,2026-06-13,유튜브,부산,12조,김민경,"(시민E) 이상기후의 빈도와 강도 증가로 농작물 생산의 변동성이 커지며, 이로 인해 농산물 및 식료품 가격이 급등하는 이른바 기후플레이션이 빈번하?",15:33,대기
28,2026-06-13,유튜브,서울,13조,공통,(시민E) 지난 100년간 함반도 평균 기온은 1?,15:36,대기
29,2026-06-13,유튜브,서울미래,14조,유종민,(시민E) 국내 탄소중립 정책과 탈석탄 정책 현황 - 문재인 정부는 탈석탄 정책을 선언하고 전력수급기본계획을 중심으로 노후 석탄화력발전소 조기 폐?,15:39,대기
30,2026-06-13,유튜브,대전,15조,유종민,"(시민E) 이재명 정부는 매년 500개씩, 총 2,500개의 햇빛소득마을을 만들겠다고 함?",15:42,대기
